recency,topic_rank,diversity,authors_mean_rank,authors_mean_hindex,authors_mean_gindex,authors_mean_sociality,authors_mean_pagerank,authors_mean_productivity,journal_pagerank,journal_rank,title_len,abstract_len,n_authors,c5,log_authors_mean_sociality
16,1.0,-0.4254360928119162,500.0,1.0,1.0,6.0,,,,101.0,66,1653,7,1.0,1.9459101490553132
8,7.0,-0.5719671271205441,134.0,1.0,1.0,6.0,,,,24.0,59,1527,7,32.0,1.9459101490553132
15,19.0,-0.8596436755093858,235.0,1.0,1.0,5.0,,,,49.0,169,1554,6,5.0,1.791759469228055
6,4.0,-1.0549991290745102,1124.0,1.0,1.0,10.0,,,,185.0,130,2121,11,7.0,2.3978952727983707
14,2.0,-0.4766967849374994,346.0,1.0,1.0,2.0,,,,72.0,100,432,3,7.0,1.0986122886681096
18,10.0,-1.1099817813006518,397.0,1.0,1.0,6.0,,,,87.0,110,923,7,5.0,1.9459101490553132
7,2.0,-0.8348756912824138,1775.0,1.0,1.0,7.0,,,,126.0,70,853,8,1.0,2.0794415416798357
9,14.0,-0.7005256966246584,570.0,1.0,1.0,4.0,,,,105.0,121,1234,5,6.0,1.6094379124341003
5,3.0,-1.4640844002567945,1282.0,1.0,1.0,3.0,,,,,44,1191,4,8.0,1.3862943611198906
17,18.0,-0.07567499279178844,112.0,1.0,1.0,8.0,,,,25.0,103,2498,9,7.0,2.1972245773362196
17,6.0,-0.12986299349026315,215.0,1.0,1.0,5.0,,,,45.0,101,1371,6,4.0,1.791759469228055
5,16.0,-1.1981863136971234,1208.0,1.0,1.0,3.0,,,,194.0,93,942,4,9.0,1.3862943611198906
20,20.0,-0.12612851890794413,365.0,1.0,1.0,7.0,,,,81.0,90,1040,8,0.0,2.0794415416798357
13,13.0,-0.171128220831476,918.0,1.0,1.0,2.0,,,,186.0,95,876,3,2.0,1.0986122886681096
11,17.0,-0.8254554631647005,39.0,1.0,1.0,4.0,,,,12.0,66,1004,5,29.0,1.6094379124341003
13,20.0,-0.17835968511606995,326.0,1.0,1.0,2.0,,,,,169,1323,3,9.0,1.0986122886681096
19,7.0,-0.26436793566691813,33.0,1.0,1.0,0.0,,,,8.0,42,492,1,15.0,0.0
15,8.0,-0.09727810501773636,220.0,1.0,1.0,1.0,,,,46.0,99,1808,2,5.0,0.6931471805599453
11,11.0,-1.6034223720653729,407.0,1.0,1.0,3.0,,,,77.0,112,1644,4,9.0,1.3862943611198906
14,19.0,-0.6479229522378812,1015.0,1.0,1.0,0.0,,,,,32,275,1,2.0,0.0
8,9.0,-0.14031620091120608,1107.0,1.0,1.0,10.0,,,,199.0,89,1547,11,6.0,2.3978952727983707
11,16.0,-0.5924591779422751,1155.0,1.0,1.0,2.0,,,,236.0,91,1403,3,3.0,1.0986122886681096
8,2.0,-1.3904804271040625,94.0,1.0,1.0,8.0,,,,,107,1987,9,46.0,2.1972245773362196
5,3.0,-1.2241503976790589,219.0,1.0,1.0,2.0,,,,,101,1147,3,49.0,1.0986122886681096
17,2.0,-0.6521764856966628,481.0,1.0,1.0,0.0,,,,103.0,81,1100,1,3.0,0.0
24,2.0,-0.16137558841556804,162.0,1.0,1.0,1.0,,,,35.0,83,895,2,1.0,0.6931471805599453
14,17.0,-1.679633830356877,894.0,1.0,1.0,2.0,,,,193.0,81,0,3,1.0,1.0986122886681096
14,15.0,-0.8854953490830315,336.0,1.0,1.0,3.0,,,,70.0,47,465,4,8.0,1.3862943611198906
14,1.0,-0.6366431626304635,799.0,1.0,1.0,0.0,,,,166.0,92,1093,1,1.0,0.0
7,8.0,-0.2893989211654331,1059.0,1.0,1.0,7.0,,,,180.0,191,1437,8,6.0,2.0794415416798357
24,9.0,-0.44786165855228965,190.0,1.0,1.0,1.0,,,,43.0,85,319,2,0.0,0.6931471805599453
5,1.0,-0.16449280128787555,2073.0,1.0,1.0,2.0,,,,343.0,184,1151,3,1.0,1.0986122886681096
16,3.0,-0.8559201931688705,539.0,1.0,1.0,2.0,,,,110.0,120,835,3,1.0,1.0986122886681096
13,4.0,-1.225835012400811,971.0,1.0,1.0,1.0,,,,199.0,78,762,2,1.0,0.6931471805599453
17,5.0,-0.1450172322420663,265.0,1.0,1.0,5.0,,,,56.0,140,1118,6,8.0,1.791759469228055
9,20.0,-0.1426256154325781,871.0,1.0,1.0,9.0,,,,153.0,136,1317,10,4.0,2.302585092994046
9,1.0,-0.087899163699625,1178.0,1.0,1.0,4.0,,,,152.0,110,1757,5,2.0,1.6094379124341003
22,13.0,-1.9631788567317285,491.0,1.0,1.0,0.0,,,,128.0,67,0,1,2.0,0.0
13,1.0,-0.18222524075400812,531.0,1.0,1.0,3.0,,,,96.0,122,782,4,7.0,1.3862943611198906
21,8.0,-0.12261467933966531,279.0,1.0,1.0,1.0,,,,62.0,44,1734,2,1.0,0.6931471805599453
19,17.0,-0.16774080903424124,7.0,1.0,1.0,6.0,,,,3.0,107,1022,7,27.0,1.9459101490553132
13,14.0,-0.28715166094904215,698.0,1.0,1.0,2.0,,,,128.0,121,1045,3,5.0,1.0986122886681096
17,10.0,-0.09941509986014846,121.0,1.0,1.0,12.0,,,,18.0,88,1524,13,9.0,2.5649493574615367
10,2.0,-1.5119397618561807,460.0,1.0,1.0,4.0,,,,85.0,91,1503,5,9.0,1.6094379124341003
12,11.0,-0.16137558776968045,633.0,1.0,1.0,3.0,,,,114.0,173,1074,4,6.0,1.3862943611198906
15,3.0,-0.6934190360505883,123.0,1.0,1.0,1.0,,,,54.0,112,1588,2,10.0,0.6931471805599453
7,10.0,-0.36730431486041265,671.0,1.0,1.0,8.0,,,,116.0,113,2317,9,14.0,2.1972245773362196
8,16.0,-0.12093435524775847,425.0,1.0,1.0,3.0,,,,105.0,111,1649,4,15.0,1.3862943611198906
19,6.0,-0.14501723189521742,710.0,1.0,1.0,1.0,,,,167.0,112,1711,2,0.0,0.6931471805599453
13,16.0,-0.6479933543993903,302.0,1.0,1.0,4.0,,,,59.0,63,1122,5,5.0,1.6094379124341003
8,6.0,-1.3678028335850514,443.0,1.0,1.0,6.0,,,,73.0,104,1537,7,11.0,1.9459101490553132
13,2.0,-0.6145445522682407,531.0,1.0,1.0,5.0,,,,95.0,100,1619,6,8.0,1.791759469228055
6,18.0,-0.8651189252625998,1469.0,1.0,1.0,4.0,,,,259.0,119,1060,5,4.0,1.6094379124341003
11,6.0,-0.8652566875756303,451.0,1.0,1.0,4.0,,,,193.0,70,755,5,8.0,1.6094379124341003
11,20.0,-0.2559288236574609,1367.0,1.0,1.0,2.0,,,,291.0,111,611,3,0.0,1.0986122886681096
10,12.0,-0.5653131155294604,1428.0,1.0,1.0,0.0,,,,298.0,76,731,1,1.0,0.0
7,6.0,-1.3671370245582704,1174.0,1.0,1.0,2.0,,,,,165,1722,3,5.0,1.0986122886681096
5,8.0,-0.9864206321401875,701.0,1.0,1.0,3.0,,,,112.0,63,1044,4,18.0,1.3862943611198906
20,19.0,-0.12796687031168685,16.0,1.0,1.0,4.0,,,,4.0,125,1546,5,8.0,1.6094379124341003
8,4.0,-1.3641679489655743,951.0,1.0,1.0,5.0,,,,162.0,159,1373,6,1.0,1.791759469228055
15,14.0,-0.44791157182769314,63.0,1.0,1.0,5.0,,,,13.0,46,2543,6,2.0,1.791759469228055
25,14.0,-0.8877571224221602,402.0,1.0,1.0,3.0,,,,93.0,99,452,4,0.0,1.3862943611198906
16,18.0,-0.27342378749918234,108.0,1.0,1.0,1.0,,,,22.0,54,577,2,7.0,0.6931471805599453
17,17.0,-0.2337293428499474,293.0,1.0,1.0,4.0,,,,139.0,90,640,5,4.0,1.6094379124341003
9,16.0,-1.1967196773832085,315.0,1.0,1.0,1.0,,,,56.0,77,1125,2,14.0,0.6931471805599453
21,1.0,-0.17112822127131821,31.0,1.0,1.0,3.0,,,,9.0,163,919,4,4.0,1.3862943611198906
6,15.0,-0.124699121072602,549.0,1.0,1.0,7.0,,,,86.0,105,2029,8,19.0,2.0794415416798357
5,9.0,-1.0863275130710066,1018.0,1.0,1.0,5.0,,,,84.0,149,1497,6,12.0,1.791759469228055
15,13.0,-0.14501723317181606,590.0,1.0,1.0,2.0,,,,124.0,92,1204,3,2.0,1.0986122886681096
15,18.0,-0.11617368084712348,934.0,1.0,1.0,9.0,,,,204.0,72,1721,10,2.0,2.302585092994046
24,19.0,-0.19051782588200067,452.0,1.0,1.0,3.0,,,,111.0,56,766,4,0.0,1.3862943611198906
23,10.0,-0.15273276958447493,194.0,1.0,1.0,3.0,,,,41.0,70,1416,4,0.0,1.3862943611198906
19,10.0,-0.3746484564893674,78.0,1.0,1.0,3.0,,,,18.0,133,1390,4,13.0,1.3862943611198906
11,17.0,-1.3877944912262747,344.0,1.0,1.0,3.0,,,,66.0,70,1617,4,9.0,1.3862943611198906
11,10.0,-1.284742211412302,188.0,1.0,1.0,2.0,,,,76.0,68,586,3,22.0,1.0986122886681096
24,13.0,-0.11321415754784539,452.0,1.0,1.0,6.0,,,,111.0,69,1258,7,0.0,1.9459101490553132
8,4.0,-0.737930127659327,1558.0,1.0,1.0,6.0,,,,300.0,89,438,7,1.0,1.9459101490553132
14,2.0,-0.20978208320044536,336.0,1.0,1.0,5.0,,,,110.0,69,1122,6,7.0,1.791759469228055
5,5.0,-0.9922133336172321,1351.0,1.0,1.0,4.0,,,,181.0,136,1049,5,7.0,1.6094379124341003
7,2.0,-1.4908274112810485,911.0,1.0,1.0,0.0,,,,116.0,30,106,1,19.0,0.0
25,19.0,-0.14031619652534644,1.0,1.0,1.0,1.0,,,,1.0,155,1220,2,4.0,0.6931471805599453
6,14.0,-0.2965846006393243,1469.0,1.0,1.0,7.0,,,,,108,2407,8,5.0,2.0794415416798357
6,8.0,-0.1822252412304724,1469.0,1.0,1.0,1.0,,,,259.0,95,1067,2,4.0,0.6931471805599453
13,17.0,-0.6842255303581283,614.0,1.0,1.0,0.0,,,,172.0,166,1579,1,3.0,0.0
17,8.0,-0.15550256252123323,481.0,1.0,1.0,1.0,,,,103.0,131,993,2,1.0,0.6931471805599453
21,4.0,-0.12093435507976989,106.0,1.0,1.0,10.0,,,,,91,1350,11,7.0,2.3978952727983707
22,6.0,-0.12612851915270287,228.0,1.0,1.0,1.0,,,,52.0,79,1291,2,3.0,0.6931471805599453
19,12.0,-0.13592724782975882,52.0,1.0,1.0,6.0,,,,14.0,108,1166,7,2.0,1.9459101490553132
6,9.0,-0.14749562020587753,717.0,1.0,1.0,10.0,,,,119.0,116,1837,11,16.0,2.3978952727983707
15,8.0,-0.07629425808787967,122.0,1.0,1.0,0.0,,,,26.0,38,2502,1,3.0,0.0
20,6.0,-0.1613755879608439,168.0,1.0,1.0,0.0,,,,36.0,73,709,1,5.0,0.0
7,2.0,-0.5771396293287144,641.0,1.0,1.0,1.0,,,,110.0,92,786,2,14.0,0.6931471805599453
9,19.0,-0.1527327733747128,949.0,1.0,1.0,3.0,,,,173.0,127,1092,4,5.0,1.3862943611198906
9,12.0,-2.0905051840162456,1534.0,1.0,1.0,0.0,,,,309.0,61,0,1,0.0,0.0
17,18.0,-1.0456663734628755,63.0,1.0,1.0,2.0,,,,36.0,54,0,3,7.0,1.0986122886681096
14,16.0,-0.10646869359052358,374.0,1.0,1.0,14.0,,,,76.0,112,1166,15,5.0,2.70805020110221
15,9.0,-0.7862213821172264,283.0,1.0,1.0,0.0,,,,57.0,68,1388,1,2.0,0.0
5,12.0,-0.9742011081892968,1935.0,1.0,1.0,5.0,,,,,64,341,6,2.0,1.791759469228055
11,17.0,-0.12434528695123553,1291.0,1.0,1.0,4.0,,,,267.0,78,1574,5,0.0,1.6094379124341003
9,18.0,-0.11321415692441898,467.0,1.0,1.0,4.0,,,,84.0,83,1475,5,13.0,1.6094379124341003
15,12.0,-0.2045861509919845,820.0,1.0,1.0,1.0,,,,180.0,41,820,2,2.0,0.6931471805599453
17,13.0,-0.1905178261252231,103.0,1.0,1.0,4.0,,,,42.0,118,1100,5,11.0,1.6094379124341003
24,1.0,-0.14501723211319686,221.0,1.0,1.0,4.0,,,,78.0,68,1385,5,3.0,1.6094379124341003
5,9.0,-1.4208854820130583,2073.0,1.0,1.0,3.0,,,,375.0,160,1218,4,1.0,1.3862943611198906
23,14.0,-1.5567369860235611,496.0,1.0,1.0,6.0,,,,151.0,103,0,7,0.0,1.9459101490553132
16,12.0,-0.18627342882531753,867.0,1.0,1.0,1.0,,,,186.0,57,791,2,1.0,0.6931471805599453
5,19.0,-0.09624562315081629,1018.0,1.0,1.0,7.0,,,,158.0,165,1865,8,12.0,2.0794415416798357
6,7.0,-0.06609733417229763,1628.0,1.0,1.0,3.0,,,,,161,2409,4,3.0,1.3862943611198906
9,19.0,-0.14031619716295524,871.0,1.0,1.0,6.0,,,,209.0,102,1171,7,5.0,1.9459101490553132
9,3.0,-0.09941510283390641,379.0,1.0,1.0,1.0,,,,,108,1648,2,13.0,0.6931471805599453
22,1.0,-0.1677408098706492,206.0,1.0,1.0,4.0,,,,45.0,105,941,5,2.0,1.6094379124341003
5,2.0,-1.3502272604598837,1393.75,1.0,1.125,6.875,,,,273.0,106,1007,8,7.0,2.063693184711697
7,6.0,-0.5841324822480518,110.0,1.0,1.0,7.0,,,,21.0,195,1794,8,46.0,2.0794415416798357
15,8.0,-1.1898540560979203,27.0,1.0,1.0,3.0,,,,8.0,162,1231,4,24.0,1.3862943611198906
7,8.0,-1.431904284991568,912.0,1.0,1.0,2.0,,,,151.0,77,0,3,12.0,1.0986122886681096
23,18.0,-0.21526728804141904,78.0,1.0,1.0,4.0,,,,18.0,123,812,5,3.0,1.6094379124341003
5,10.0,-0.13592724786898777,273.0,1.0,1.0,2.0,,,,122.0,95,2065,3,39.0,1.0986122886681096
15,9.0,-0.11467368997297633,547.0,1.0,1.0,3.0,,,,114.0,77,1444,4,2.0,1.3862943611198906
7,3.0,-1.2505830730048562,341.0,1.0,1.0,4.0,,,,56.0,121,1811,5,29.0,1.6094379124341003
23,10.0,-0.15006569734864503,22.0,1.0,1.0,1.0,,,,6.0,137,935,2,2.0,0.6931471805599453
25,6.0,-1.7018513080138322,315.0,1.0,1.0,3.0,,,,75.0,110,0,4,1.0,1.3862943611198906
16,12.0,-1.2474853214452788,867.0,1.0,1.0,0.0,,,,186.0,117,0,1,2.0,0.0
20,13.0,-0.11321415722808323,492.0,1.0,1.0,0.0,,,,114.0,43,1898,1,1.0,0.0
5,15.0,-0.878694922954338,755.0,1.0,1.0,4.0,,,,122.0,129,2626,5,14.0,1.6094379124341003
14,6.0,-0.1905178283379581,147.0,1.0,1.0,4.0,,,,30.0,99,1341,5,9.0,1.6094379124341003
21,17.0,-0.12434528563519191,251.0,1.0,1.0,4.0,,,,55.0,82,1666,5,3.0,1.6094379124341003
19,14.0,-0.10400236868127039,290.0,1.0,1.0,2.0,,,,60.0,118,1964,3,1.0,1.0986122886681096
12,16.0,-0.4998164815962822,523.0,1.0,1.0,0.0,,,,133.0,91,436,1,13.0,0.0
21,5.0,-0.6855180065269098,279.0,1.0,1.0,5.0,,,,62.0,176,1730,6,4.0,1.791759469228055
7,6.0,-1.3206277529544532,1451.0,1.0,1.0,6.0,,,,265.0,188,1892,7,2.0,1.9459101490553132
19,1.0,-0.12434528586629037,140.0,1.0,1.0,2.0,,,,32.0,130,1331,3,1.0,1.0986122886681096
13,6.0,-0.15006569991652613,918.0,1.0,1.0,2.0,,,,110.0,96,1108,3,4.0,1.0986122886681096
8,4.0,-1.2011029104293751,1662.0,1.0,1.0,5.0,,,,326.0,128,1188,6,1.0,1.791759469228055
10,6.0,-0.7642565887930737,1428.0,1.0,1.0,4.0,,,,298.0,115,1944,5,0.0,1.6094379124341003
21,2.0,-0.4000704064912762,145.0,1.0,1.0,3.0,,,,32.0,101,562,4,1.0,1.3862943611198906
16,14.0,-1.2304095474404468,303.0,1.0,1.0,0.0,,,,60.0,88,978,1,0.0,0.0
11,11.0,-0.43836344976460545,1367.0,1.0,1.0,4.0,,,,291.0,80,746,5,1.0,1.6094379124341003
23,1.0,-0.1064686941461133,3.0,1.0,1.0,5.0,,,,2.0,90,1446,6,5.0,1.791759469228055
11,7.0,-1.6945521122804679,624.0,1.0,1.0,2.0,,,,113.0,154,1344,3,2.0,1.0986122886681096
23,5.0,-0.0823912814251518,1.0,1.0,1.0,1.0,,,,1.0,158,1766,2,7.0,0.6931471805599453
7,12.0,-0.08388921501797861,1662.0,1.0,1.0,6.0,,,,316.0,168,1991,7,2.0,1.9459101490553132
17,7.0,-0.14262561560235465,599.0,1.0,1.0,0.0,,,,127.0,82,1586,1,0.0,0.0
8,2.0,-0.1040023698401991,630.0,1.0,1.0,3.0,,,,,65,1791,4,7.0,1.3862943611198906
21,6.0,-1.6992451916046016,251.0,1.0,1.0,0.0,,,,55.0,56,0,1,1.0,0.0
22,1.0,-0.17437265738062804,288.0,1.0,1.0,1.0,,,,64.0,89,2377,2,0.0,0.6931471805599453
18,2.0,-0.8603898776232118,346.0,1.0,1.0,2.0,,,,72.0,87,1010,3,2.0,1.0986122886681096
16,9.0,-0.5872513429823536,47.0,1.0,1.0,4.0,,,,24.0,62,1447,5,17.0,1.6094379124341003
21,17.0,-1.5567369888957552,279.0,1.0,1.0,3.0,,,,62.0,99,0,4,1.0,1.3862943611198906
6,12.0,-1.7582811290641058,1250.0,1.0,1.0,7.0,,,,215.0,55,690,8,6.0,2.0794415416798357
13,12.0,-0.20978208326840644,101.0,1.0,1.0,11.0,,,,21.0,94,853,12,25.0,2.4849066497880004
16,16.0,-0.19051782580006332,755.0,1.0,1.0,4.0,,,,163.0,97,1301,5,2.0,1.6094379124341003
13,11.0,-0.08388921549877626,169.0,1.0,1.0,1.0,,,,32.0,62,2225,2,11.0,0.6931471805599453
13,3.0,-0.9159062963818506,769.0,1.0,1.0,3.0,,,,151.0,113,1708,4,3.0,1.3862943611198906
10,16.0,-0.9278548809561522,837.0,1.0,1.0,0.0,,,,150.0,71,298,1,4.0,0.0
9,14.0,-0.07107815110330987,333.0,1.0,1.0,5.0,,,,,117,2387,6,19.0,1.791759469228055
11,18.0,-0.8330984784842201,224.0,1.0,1.0,6.0,,,,52.0,90,923,7,16.0,1.9459101490553132
